"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"IL7R",0,1.34487457467576,0.829,0.198,0,"0","IL7R",0.631
"TCF7",0,0.945295161566538,0.737,0.181,0,"0","TCF7",0.556
"CCR7",0,0.92641762526856,0.75,0.342,0,"0","CCR7",0.408
"LEF1",0,0.917408119929879,0.638,0.193,0,"0","LEF1",0.445
"NOSIP",0,0.896710410603708,0.752,0.489,0,"0","NOSIP",0.263
"LTB",0,0.859752067678723,0.951,0.64,0,"0","LTB",0.311
"FLT3LG",0,0.76966037117198,0.563,0.177,0,"0","FLT3LG",0.386
"RPS12",0,0.760265860607923,0.998,0.992,0,"0","RPS12",0.00600000000000001
"TPT1",0,0.699710025445657,0.997,0.985,0,"0","TPT1",0.012
"AQP3",0,0.67548292521035,0.451,0.119,0,"0","AQP3",0.332
"SARAF",0,0.673265388159467,0.973,0.867,0,"0","SARAF",0.106
"RPL32",0,0.662144724072323,0.998,0.989,0,"0","RPL32",0.00900000000000001
"RPS14",0,0.649276367454351,0.998,0.987,0,"0","RPS14",0.011
"RPL30",0,0.644437984048962,0.999,0.992,0,"0","RPL30",0.00700000000000001
"JUNB",0,0.641888791966147,0.841,0.736,0,"0","JUNB",0.105
"FXYD5",0,0.637806323794408,0.96,0.827,0,"0","FXYD5",0.133
"RPL34",0,0.632157469663153,0.999,0.988,0,"0","RPL34",0.011
"IFITM1",0,0.63204863231782,0.972,0.752,0,"0","IFITM1",0.22
"LDLRAP1",0,0.630431178237651,0.457,0.107,0,"0","LDLRAP1",0.35
"RPS3A",0,0.621391647784392,0.998,0.988,0,"0","RPS3A",0.01
"SELL",0,0.608571877484021,0.845,0.561,0,"0","SELL",0.284
"RPL3",0,0.60349341035967,0.995,0.975,0,"0","RPL3",0.02
"CD40LG",0,0.603230344012155,0.327,0.051,0,"0","CD40LG",0.276
"EEF1B2",0,0.58882970326196,0.991,0.947,0,"0","EEF1B2",0.044
"EEF1A1",0,0.581773914392747,1,0.998,0,"0","EEF1A1",0.002
"CAMK4",0,0.580846526089002,0.487,0.201,0,"0","CAMK4",0.286
"RPL21",0,0.573858730226459,0.99,0.965,0,"0","RPL21",0.025
"ZFP36L2",0,0.562599919298516,0.946,0.751,0,"0","ZFP36L2",0.195
"ACTN1",0,0.561088494342721,0.335,0.071,0,"0","ACTN1",0.264
"RPS28",0,0.55924370342218,0.999,0.992,0,"0","RPS28",0.00700000000000001
"PABPC1",0,0.553443849663423,0.989,0.955,0,"0","PABPC1",0.034
"MAL",0,0.553022510721064,0.508,0.144,0,"0","MAL",0.364
"TXNIP",0,0.547449694183392,0.928,0.718,0,"0","TXNIP",0.21
"RPL9",0,0.545225917711263,0.994,0.971,0,"0","RPL9",0.023
"LINC00861",0,0.537039638979606,0.489,0.197,0,"0","LINC00861",0.292
"PIK3IP1",0,0.531274238976164,0.631,0.324,0,"0","PIK3IP1",0.307
"RPL13",0,0.531013376866824,0.998,0.993,0,"0","RPL13",0.005
"TSC22D3",0,0.529460539936735,0.844,0.591,0,"0","TSC22D3",0.253
"RPS21",0,0.528200417879546,0.998,0.985,0,"0","RPS21",0.013
"TMEM123",0,0.527870638440819,0.687,0.448,0,"0","TMEM123",0.239
"RPS6",0,0.523504396095509,0.995,0.979,0,"0","RPS6",0.016
"RPL10",0,0.523257607740129,0.999,0.996,0,"0","RPL10",0.003
"RPL11",0,0.520008977915793,0.999,0.994,0,"0","RPL11",0.005
"RPL14",0,0.518908237848318,0.997,0.986,0,"0","RPL14",0.011
"RPL39",0,0.514934164020813,0.999,0.988,0,"0","RPL39",0.011
"RPS25",0,0.514572336776819,0.996,0.982,0,"0","RPS25",0.014
"RPL5",0,0.51296309510877,0.997,0.981,0,"0","RPL5",0.016
"RPL38",0,0.512089723176048,0.98,0.931,0,"0","RPL38",0.0489999999999999
"RPS3",0,0.50902321769781,0.999,0.99,0,"0","RPS3",0.00900000000000001
"LEPROTL1",0,0.504482889100615,0.717,0.48,0,"0","LEPROTL1",0.237
"RPS27A",0,0.495440462165491,0.998,0.992,0,"0","RPS27A",0.00600000000000001
"RPS13",0,0.495420209712143,0.997,0.987,0,"0","RPS13",0.01
"RPS29",0,0.493518310396467,0.99,0.972,0,"0","RPS29",0.018
"RPL19",0,0.487126859406985,0.998,0.991,0,"0","RPL19",0.00700000000000001
"RPS15A",0,0.483603603200478,0.998,0.991,0,"0","RPS15A",0.00700000000000001
"TRABD2A",0,0.479097016377541,0.269,0.047,0,"0","TRABD2A",0.222
"RPL35A",0,0.475492499105155,0.998,0.984,0,"0","RPL35A",0.014
"RPL36",0,0.463657785887057,0.994,0.98,0,"0","RPL36",0.014
"RPL36A",0,0.452038924362664,0.967,0.915,0,"0","RPL36A",0.0519999999999999
"LDHB",0,0.438146965738702,0.95,0.819,0,"0","LDHB",0.131
"RPS8",0,0.435521480955443,0.999,0.992,0,"0","RPS8",0.00700000000000001
"RPL10A",0,0.432549371492797,0.991,0.959,0,"0","RPL10A",0.032
"RPS4X",0,0.430190625206813,0.997,0.99,0,"0","RPS4X",0.00700000000000001
"RPL22",0,0.427288170428861,0.994,0.973,0,"0","RPL22",0.021
"RPL4",0,0.422600463232818,0.984,0.939,0,"0","RPL4",0.045
"CD7",0,0.41911312560144,0.877,0.47,0,"0","CD7",0.407
"RPS23",0,0.418358141597063,0.998,0.987,0,"0","RPS23",0.011
"RPS27",0,0.411856590849876,0.998,0.993,0,"0","RPS27",0.005
